State,District,Population_Share_district,MPI_District,Headcount_Ratio,Intensity_of_Deprivation,Total_Population,,Number_of_MPI_PeopleDistrict_InThousand,Number_of_MPI_PeopleDistrict
Jharkhand,Godda,0.10%,0.264,58.1,45.5,"1,355","13,24,171",787,787000
Jharkhand,Gumla,0.08%,0.218,48.5,44.8,999,"13,24,171",485,485000
Jharkhand,Hazaribagh,0.14%,0.162,39.3,41.1,"1,882","13,24,171",739,739000
Jharkhand,Jamtara,0.07%,0.247,56.6,43.6,936,"13,24,171",530,530000
Jharkhand,Khunti,0.04%,0.245,55,44.5,542,"13,24,171",298,298000
Jharkhand,Kodarma,0.06%,0.161,38,42.3,787,"13,24,171",299,299000
Jharkhand,Latehar,0.06%,0.262,56.1,46.8,760,"13,24,171",426,426000
Jharkhand,Lohardaga,0.04%,0.225,51.9,43.4,504,"13,24,171",262,262000
Jharkhand,Pakur,0.08%,0.322,66.2,48.7,"1,011","13,24,171",669,669000
Jharkhand,Palamu,0.15%,0.229,48.7,47,"1,965","13,24,171",958,958000
Jharkhand,Pashchimi Singhbhum,0.11%,0.309,61.7,50.1,"1,501","13,24,171",927,927000
Jharkhand,Purbi Singhbhum,0.20%,0.11,25.8,42.6,"2,636","13,24,171",679,679000
Jharkhand,Ramgarh,0.07%,0.133,32.1,41.6,958,"13,24,171",307,307000
Jharkhand,Ranchi,0.22%,0.122,29.3,41.6,"2,860","13,24,171",838,838000
Jharkhand,Sahibganj,0.09%,0.294,60,49,"1,237","13,24,171",742,742000
Jharkhand,Saraikela Kharsawan,0.10%,0.19,44.1,43.1,"1,265","13,24,171",558,558000
Jharkhand,Simdega,0.05%,0.246,55.3,44.6,599,"13,24,171",331,331000
Karnataka,Bagalkot,0.15%,0.121,31.1,38.9,"2,014","13,24,171",626,626000
Karnataka,Bangalore,0.84%,0.007,1.9,37,"11,143","13,24,171",208,208000
Karnataka,Bangalore Rural,0.08%,0.042,11.3,37.5,"1,006","13,24,171",114,114000
Karnataka,Belgaum,0.38%,0.062,16.4,37.7,"5,050","13,24,171",826,826000
Karnataka,Bellary,0.19%,0.123,28.8,42.8,"2,545","13,24,171",734,734000
Karnataka,Bidar,0.14%,0.101,25.5,39.5,"1,873","13,24,171",477,477000
Karnataka,Bijapur,0.17%,0.12,30.4,39.4,"2,250","13,24,171",684,684000
Karnataka,Chamarajanagar,0.08%,0.095,23.8,40.1,"1,024","13,24,171",243,243000
Karnataka,Chikkaballapura,0.09%,0.089,23.1,38.7,"1,221","13,24,171",282,282000
Karnataka,Chikmagalur,0.08%,0.051,13.1,38.8,"1,074","13,24,171",141,141000
Karnataka,Chitradurga,0.14%,0.084,20.9,40.3,"1,812","13,24,171",379,379000
Karnataka,Dakshina Kannada,0.15%,0.025,6.4,39.2,"2,026","13,24,171",130,130000
Karnataka,Davanagere,0.15%,0.066,16.8,39.4,"2,013","13,24,171",339,339000
Karnataka,Dharwad,0.16%,0.051,13.5,38.2,"2,178","13,24,171",293,293000
Karnataka,Gadag,0.09%,0.12,30.2,39.7,"1,172","13,24,171",354,354000
Karnataka,Gulbarga,0.20%,0.12,29.7,40.2,"2,691","13,24,171",800,800000
Karnataka,Hassan,0.13%,0.043,11.6,37.3,"1,731","13,24,171",200,200000
Karnataka,Haveri,0.12%,0.079,20.5,38.8,"1,593","13,24,171",326,326000
Karnataka,Kodagu,0.04%,0.044,10.5,42.2,583,"13,24,171",61,61000
Karnataka,Kolar,0.12%,0.056,14.8,37.7,"1,604","13,24,171",238,238000
Karnataka,Koppal,0.11%,0.122,30.8,39.4,"1,416","13,24,171",436,436000
Karnataka,Mandya,0.14%,0.042,10.9,38.6,"1,901","13,24,171",207,207000
Karnataka,Mysore,0.24%,0.037,9.4,39.5,"3,207","13,24,171",300,300000
Karnataka,Raichur,0.15%,0.154,36.1,42.8,"1,940","13,24,171",699,699000
Karnataka,Ramanagara,0.08%,0.046,12.4,37,"1,091","13,24,171",136,136000
Karnataka,Shimoga,0.13%,0.064,16.4,39,"1,666","13,24,171",274,274000
Karnataka,Tumkur,0.18%,0.076,19.4,39.3,"2,446","13,24,171",475,475000
Karnataka,Udupi,0.09%,0.047,11.7,39.7,"1,142","13,24,171",134,134000
Karnataka,Uttara Kannada,0.12%,0.065,16.3,39.6,"1,532","13,24,171",250,250000
Karnataka,Yadgir,0.09%,0.214,49,43.6,"1,190","13,24,171",583,583000
Kerala,Alappuzha,0.18%,0.003,0.8,37.3,"2,355","13,24,171",20,20000
Kerala,Ernakulam,0.28%,0.001,0.2,33.3,"3,651","13,24,171",6,6000
Kerala,Idukki,0.09%,0.008,2.1,36.7,"1,175","13,24,171",25,25000
Kerala,Kannur,0.20%,0.002,0.6,36.4,"2,681","13,24,171",16,16000
Kerala,Kasaragod,0.11%,0.008,1.9,43.4,"1,456","13,24,171",28,28000
Kerala,Kollam,0.24%,0.006,1.6,37.7,"3,230","13,24,171",50,50000
Kerala,Kottayam,0.18%,0,0.1,33.3,"2,339","13,24,171",3,3000
Kerala,Kozhikode,0.26%,0.003,0.9,34.8,"3,501","13,24,171",31,31000
Kerala,Malappuram,0.38%,0.006,1.6,35.8,"5,013","13,24,171",79,79000
Kerala,Palakkad,0.28%,0.004,1,36.6,"3,736","13,24,171",36,36000
Kerala,Pathanamthitta,0.11%,0.005,1.2,40.9,"1,462","13,24,171",18,18000
Kerala,Thiruvananthapuram,0.29%,0.005,1.5,36.5,"3,877","13,24,171",58,58000
Kerala,Thrissur,0.25%,0.001,0.4,34.9,"3,268","13,24,171",12,12000
Kerala,Wayanad,0.07%,0.016,3.9,41.3,863,"13,24,171",33,33000
Lakshadweep,Lakshadweep,0.01%,0.007,1.8,36.8,80,"13,24,171",1,1000
Madhya Pradesh,Alirajpur,0.07%,0.402,76.5,52.6,923,"13,24,171",705,705000
Madhya Pradesh,Anuppur,0.07%,0.205,47.9,42.8,904,"13,24,171",433,433000
Madhya Pradesh,Ashoknagar,0.07%,0.222,50.8,43.7,989,"13,24,171",502,502000
Madhya Pradesh,Balaghat,0.16%,0.201,49.6,40.6,"2,053","13,24,171","1,018",1018000
Madhya Pradesh,Barwani,0.13%,0.348,65.2,53.3,"1,760","13,24,171","1,147",1147000
Madhya Pradesh,Betul,0.13%,0.173,39.3,43.9,"1,764","13,24,171",694,694000
Madhya Pradesh,Bhind,0.14%,0.157,39.1,40.2,"1,834","13,24,171",717,717000
Madhya Pradesh,Bhopal,0.21%,0.061,14.1,42.8,"2,840","13,24,171",402,402000
Madhya Pradesh,Burhanpur,0.06%,0.187,37.9,49.4,856,"13,24,171",324,324000
Madhya Pradesh,Chhatarpur,0.15%,0.244,54.1,45,"1,934","13,24,171","1,046",1046000
Madhya Pradesh,Chhindwara,0.18%,0.148,34.4,43.2,"2,447","13,24,171",841,841000
Madhya Pradesh,Damoh,0.12%,0.219,50.1,43.8,"1,592","13,24,171",797,797000
Madhya Pradesh,Datia,0.07%,0.162,38.5,42,937,"13,24,171",361,361000
Madhya Pradesh,Dewas,0.15%,0.149,34.4,43.4,"1,966","13,24,171",676,676000
